Wall time,Step,Value
1698128325.2251835,7,0.6736087799072266
1698128387.2668767,15,1.1498106718063354
1698128447.6977055,23,0.28733596205711365
1698128507.3086286,31,2.2060465812683105
1698128567.0656452,39,0.4635244905948639
1698128626.9393852,47,0.7744795680046082
1698128686.4375746,55,0.9176433682441711
1698128745.8301797,63,0.6867953538894653
1698128805.8505907,71,0.9019912481307983
1698128865.842876,79,0.43560925126075745
1698128925.4963944,87,0.35005468130111694
1698129026.2469814,95,0.0933343842625618
1698129086.7865112,103,0.5212502479553223
1698129147.3270752,111,0.3562442660331726
1698129208.6105115,119,0.5279397964477539
1698129270.1373463,127,0.3123738467693329
1698129331.3586655,135,0.1966327726840973
1698129392.7974062,143,0.37743350863456726
1698129454.5348053,151,0.5266914367675781
1698129515.7251172,159,0.4729534089565277
1698129577.3512685,167,0.7000495195388794
1698129639.0441356,175,0.3660397231578827
1698129701.234976,183,0.5482245087623596
1698129762.930162,191,0.45649370551109314
1698129824.1218898,199,0.6608003973960876
1698129886.9270139,207,0.3746791481971741
1698129949.9503875,215,0.48729056119918823
1698130012.7108014,223,0.5664345026016235
1698130075.0635478,231,0.4468640089035034
1698130137.6475399,239,0.8783376216888428
1698130200.435385,247,0.526285707950592
1698130262.8736687,255,0.6315004825592041
1698130325.368728,263,0.7025736570358276
1698130387.7429838,271,0.5794097781181335
1698130450.4741516,279,0.4801585376262665
1698130512.8426397,287,0.39414724707603455
1698130575.4377706,295,0.36441782116889954
1698130637.9300952,303,0.3181793987751007
1698130700.0311632,311,1.0757874250411987
1698130762.2737315,319,0.31725654006004333
1698130824.7916627,327,0.3655581474304199
1698130887.8600736,335,0.35191476345062256
1698130951.2987523,343,1.0746815204620361
1698131014.3470383,351,0.9075005650520325
1698131077.2894325,359,0.9876033067703247
1698131140.5227275,367,1.0656867027282715
1698131203.9294474,375,1.031667947769165
1698131267.155416,383,0.47928646206855774
1698131329.836614,391,0.3505384624004364
1698131393.1548586,399,0.9437091946601868
1698131456.023965,407,0.44693049788475037
1698131520.3919773,415,0.6887314319610596
1698131583.6776118,423,0.26667365431785583
1698131646.8261418,431,0.30534428358078003
